age,balance,currency,daily,drawdown,expectancy,gain,leverage,link,lots,monthly,name,pips,price,profit,profit_factor,rank,trades,won
3.02,59.23,USD, -0.46%,75.01%,5,-33.81%,500 ,https://www.signalstart.com/analysis/highest-gold/269270, 1.07, -12.75%,Highest gold,2227.0,$40.00,30.25, 0.74,-,91, 87%
3.13,115785.19,USD, 0.39%,88.07%,3,44.27%,100 ,https://www.signalstart.com/analysis/fazza-gold/269192, 330.7, 12.30%,Fazza Gold,1431.7,$30.00,14331.52, 1.54,-,332, 64%
2.59,0.0,USD, -0.03%,4.91%,5,-1.99%,25 ,https://www.signalstart.com/analysis/b832/269187, 0.34, -0.76%,B832,-1873.0,$30.00,19.9, 0.46,-,32, 75%
3.03,0.0,USD, -1.55%,96.31%,6,-75.86%,500 ,https://www.signalstart.com/analysis/iq-dortor/269173, 58, -37.16%,IQ Dortor,12460.0,$200.00,3690.62, 1.21,-,136, 55%
4.79,1465.35,USD, 0.75%,12.05%,36,192.59%,500 ,https://www.signalstart.com/analysis/black-citadel/269136, 2.15, 24.91%,Black Citadel,4468.2,$72.00,963.7, 804.08,-,124, 98%
3.23,2257.49,GBP, 3.31%,63.25%,6,2248.37%,500 ,https://www.signalstart.com/analysis/liquidity-inducement/269052, 32.85, 163.36%,LIQUIDITY INDUCEMENT,3039.6,$30.00,2157.38, 5.81,-,315, 85%
2.85,0.02,USD, -7.23%,99.97%,4,-99.84%,500 ,https://www.signalstart.com/analysis/legend-successor/268949, 7.21, -89.26%,Legend Successor,-33212.9,$30.00,725.1, 0.42,-,352, 61%
4.23,306.31,USD, -0.58%,87.03%,3,-52.23%,500 ,https://www.signalstart.com/analysis/gold-united-trading-v1/268930, 14.73, -15.92%,GOLD UNITED TRADING V1,-12100.0,$30.00,310.86, 0.93,-,137, 80%
2.92,0.95,USD, -7.55%,99.94%,9,-99.90%,500 ,https://www.signalstart.com/analysis/axigold/268923, 2.09, -90.31%,Axigold,-1106.6,$100.00,630.67, 0.4,-,124, 73%
4.49,287.33,USD Cent, -1.46%,95.64%,1,-86.27%,500 ,https://www.signalstart.com/analysis/grandfx/268767, 196.8, -35.51%,GrandFX,2139.0,$30.00,563.4, 0.98,-,421, 46%
4.75,9451.5,USD, -0.01%,4.57%,7,-1.75%,500 ,https://www.signalstart.com/analysis/alphagenius/268763, 15.2, -0.37%,AlphaGenius,-109.3,$49.00,168.55, 0.9,-,152, 47%
5.62,100.0,USD, -1.75%,98.92%,106,-94.96%,500 ,https://www.signalstart.com/analysis/great-killerr/268702, 3.06, -41.02%,The Great Killerr,16851.4,$45.00,15.23, 0.97,-,159, 53%
6.75,3.8,USD, -1.72%,99.81%,4,-97.07%,500 ,https://www.signalstart.com/analysis/paoinwza/268690, 58.41, -40.52%,paoinwza,-92511.1,$50.00,4110.21, 1.46,-,264, 55%
4.95,4597.87,USD, 2.01%,80.00%,8,1845.56%,500 ,https://www.signalstart.com/analysis/fhp-system/268684, 11.71, 81.21%,FHP System,8162.3,$50.00,2168.15, 5.7,-,305, 79%
8.16,0.59,EUR, 0.39%,36.58%,6,160.06%,500 ,https://www.signalstart.com/analysis/sistema-global-de-inversion/268621, 11.24, 12.37%,Sistema Global de Inversion,2083.1,$30.00,678.34, 2.1,-,804, 69%
3.3,6319.1,USD, 1.22%,61.36%,8,231.03%,500 ,https://www.signalstart.com/analysis/low-risk-medium-return-sgnl/268559, 29.24, 43.32%,Low Risk Medium Return SGNL,27014.1,$30.00,2425.52, 2.25,-,343, 73%
3.36,0.0,USD, -0.59%,71.94%,4,-45.05%,500 ,https://www.signalstart.com/analysis/mahaguru-xauusd/268520, 4.41, -16.18%,MAHAGURU XAUUSD,-7686.7,$75.00,43.51, 0.94,-,418, 72%
5.1,8615.38,USD, 1.39%,78.53%,6,729.37%,500 ,https://www.signalstart.com/analysis/vantage-1/268259, 359.07, 51.09%,Vantage 1,2847.9,$35.00,7365.38, 1.8,-,1797, 58%
5.16,2305.94,USD, -0.04%,18.81%,6,-6.36%,500 ,https://www.signalstart.com/analysis/hncn/268245, 24.79, -1.26%,HNCN,-505.2,$35.00,202.99, 0.87,-,815, 70%
13.0,68.34,EUR, -1.06%,99.03%,3,-98.68%,500 ,https://www.signalstart.com/analysis/bsd-twopointzero/268208, 41.02, -27.33%,BSD twopointzero,-1020.9,$30.00,2431.66, 0.68,-,810, 67%
3.85,12217.11,USC Cent, -0.47%,90.85%,5,-41.96%,500 ,https://www.signalstart.com/analysis/takeprofitcopy/268121, 241.75, -13.04%,TakeProfitCopy,-4855.7,$30.00,1062.89, 0.94,-,3269, 71%
6.59,459.2,USD, 2.31%,83.31%,8,9084.00%,500 ,https://www.signalstart.com/analysis/hermesfx/268052, 5.13, 97.81%,HermesFx,1058.8,$59.00,454.2, 5.35,-,120, 75%
5.1,0.0,USD Cent, -0.89%,91.68%,2,-74.58%,500 ,https://www.signalstart.com/analysis/fts-ea-robo-no4/268049, 70.03, -23.45%,FTS EA Robo No4,-1042.5,$75.00,310.39, 1.04,-,5048, 76%
6.02,18357.84,USD, 1.59%,49.86%,3,1600.55%,500 ,https://www.signalstart.com/analysis/multipair-trendpro-ea/267924, 314.21, 60.03%,MultiPair TrendPro EA,6409.1,$75.00,15711.95, 1.92,-,2154, 71%
6.66,0.47,USD, 0.07%,46.60%,2,15.64%,500 ,https://www.signalstart.com/analysis/orim/267908, 9.09, 2.19%,orim,18085.0,$30.00,144.16, 1.17,-,853, 63%
8.36,304.16,USD, 1.33%,22.50%,8,2678.67%,500 ,https://www.signalstart.com/analysis/n00sh2/267886, 7.53, 48.60%,N00sh2,2509.6,$75.00,440.15, 3.15,-,320, 76%
11.23,0.0,USD, -0.43%,99.45%,4,-76.24%,500 ,https://www.signalstart.com/analysis/mashdi1/267844, 5.19, -11.98%,mashdi1,2171.9,$75.00,362.94, 2.11,-,190, 73%
8.52,0.0,USD, 0.72%,83.78%,9,521.08%,500 ,https://www.signalstart.com/analysis/fd12/267828, 3.27, 23.78%,FD12,2368.0,$75.00,234.38, 2.22,-,132, 82%
6.3,176.33,USD, -0.15%,52.90%,7,-24.91%,50 ,https://www.signalstart.com/analysis/robert-trades-fx/267781, 4.07, -4.43%,Robert Trades FX,-115.6,$30.00,99.74, 0.77,-,159, 56%
