age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
1.2, 1.44%,46.2%,67.61%,https://www.signalstart.com/analysis/goldie-master/116541, 53.30%,Goldie Master,"44,226.6",$30, 45.73,-,93,Real, 94%
0.96, 2.19%,31.8%,87.22%,https://www.signalstart.com/analysis/tb-master/119614, 87.22%,TB Master,663.1,$39, 2.27,-,959,Real, 68%
1.72, 3.69%,60.2%,557.04%,https://www.signalstart.com/analysis/prof/126782, 194.65%,The Prof,"3,011.6",$50, 1.71,-,349,Real, 64%
0.34, -1.85%,17.6%,-16.99%,https://www.signalstart.com/analysis/highprofitfxsys/127293, -16.99%,HighProfitFXSys,-717.3,$30, 0.45,-,16,Real, 31%
4.46, 0.06%,69.3%,8.27%,https://www.signalstart.com/analysis/mercury-euraud-r5/95184, 1.79%,MERCURY EURAUD R5,54.3,$75, 1.04,423,28,Real, 89%
43.0, 0.01%,72.7%,13.34%,https://www.signalstart.com/analysis/everest/30428, 0.29%,Everest,"9,615.9",$30, 1.15,426,5078,Real, 80%
12.03, 1.92%,75.7%,"104,180.79%",https://www.signalstart.com/analysis/10x-strategy/86847, 76.69%,The 10x Strategy,"5,850.8",$69, 9.84,-,271,Real, 87%
3.56, -0.19%,93.5%,-18.41%,https://www.signalstart.com/analysis/reto-1m/91201, -5.53%,Reto 1M,169.1,$30, 0.9,-,69,Real, 17%
17.0, -0.27%,93.4%,-77.13%,https://www.signalstart.com/analysis/pro-trend/60991, -7.81%,PRO TREND,"20,996.6",$30, 0.89,-,756,Real, 51%
8.85, 0.47%,57.1%,249.35%,https://www.signalstart.com/analysis/mercury-pmc-rx/63110, 15.14%,Mercury PMC RX,712.9,$75, 1.2,416,557,Real, 70%
