age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
5.79, 0.05%,22.5%,8.7%,https://www.signalstart.com/analysis/ai-trading/108834, 1.44%,AI trading,"-25,888.8",$80, 1.06,273,409,Real, 39%
0.67, 0.42%,3.8%,8.66%,https://www.signalstart.com/analysis/slowisfast/143813, 8.66%,slowISfast,743.1,$39, 1.49,-,36,Real, 56%
4.43, 0.06%,98.9%,8.64%,https://www.signalstart.com/analysis/alexandra-legacy/123226, 1.88%,Alexandra Legacy,"1,234.5",$50, 0.98,452,139,Real, 88%
1.23, 0.21%,12.8%,8.01%,https://www.signalstart.com/analysis/turtle-bot-pro/141874, 6.36%,Turtle Bot Pro,-668.1,$55, 1.66,168,97,Real, 64%
0.34, 0.73%,4.6%,7.52%,https://www.signalstart.com/analysis/sugar-high/141902, 7.52%,Sugar High,"1,055.8",$50, 1.78,125,220,Real, 73%
6.1, 0.04%,27.8%,7.65%,https://www.signalstart.com/analysis/genex/105068, 1.21%,Genex,-967.6,$30, 1.04,361,361,Real, 66%
8.2, 0.03%,54.2%,6.85%,https://www.signalstart.com/analysis/corkpoint-leo/89521, 0.81%,CorkPoint Leo,417.5,$75, 3.52,379,27,Real, 96%
16.0, 0.01%,26.2%,7.44%,https://www.signalstart.com/analysis/uniflex-focus/66039, 0.44%,Uniflex Focus,"1,951.8",$75, 0.93,317,1037,Real, 51%
3.26, 0.06%,67.4%,6.49%,https://www.signalstart.com/analysis/smallstep-aggressive/104529, 1.93%,SmallStep Aggressive,"1,558.6",$35, 1.38,233,843,Real, 64%
4.1, 0.05%,11.7%,6.3%,https://www.signalstart.com/analysis/massgainerpro/95618, 1.50%,MassGainerPRO,404,$30, 1.11,198,263,Real, 70%
0.08, 2.95%,8.8%,5.99%,https://www.signalstart.com/analysis/solidrocket/145185, 5.99%,SolidRocket,129.7,$60, 64.74,118,64,Real, 81%
8.13, 0.03%,60.8%,8.09%,https://www.signalstart.com/analysis/donquijote/66259, 0.96%,DonQuijote,"-162,188",$30, 1.02,404,4032,Real, 38%
18.0, 0.01%,91.7%,5.61%,https://www.signalstart.com/analysis/relative-wave-15/53887, 0.29%,Relative Wave 15,"-4,300.5",$75, 0.6,450,537,Real, 74%
1.23, 0.15%,13.9%,5.61%,https://www.signalstart.com/analysis/kamikaze-217/143939, 4.46%,Kamikaze 217,"1,090.5",$45, 1.06,221,185,Real, 56%
44.0, 0.00%,72.7%,5.47%,https://www.signalstart.com/analysis/everest/30428, 0.12%,Everest,"9,587.7",$30, 1.15,444,5145,Real, 79%
2.95, 0.06%,4.3%,5.44%,https://www.signalstart.com/analysis/expert-4-crypt/111662, 1.79%,Expert 4 Crypt,"-77,690.9",$30, 1.54,148,926,Real, 64%
2.03, 0.08%,15.4%,4.75%,https://www.signalstart.com/analysis/084/117395, 2.29%,084,"-1,249.9",$30, 0.99,235,290,Real, 63%
2.52, 0.06%,17%,4.68%,https://www.signalstart.com/analysis/infincom/112978, 1.81%,infincom,192.8,$40, 1.75,193,50,Real, 76%
